Joule_heating,Points_0,Points_1,Points_2
5.77795,1.67312e-05,0.022964,0.0246283
5.77751,0.000696738,0.0274916,0.025
5.77623,0.000503427,0.0266854,0.0247966
5.77241,0.000947881,0.0262767,0.025
5.77128,0.000195336,0.0220776,0.0248965
5.77126,0.000450231,0.0231918,0.024816
5.77074,2.10298e-05,0.0274525,0.0246435
5.77055,0.000425464,0.022967,0.0248352
5.77034,0.000339792,0.0282824,0.0249736
5.76801,-1.0842000000000001e-19,0.026816,0.0245
5.76575,1.32502e-05,0.0273205,0.0246143
5.76564,0.000257406,0.0266114,0.024639
5.76367,0.000958238,0.0239571,0.025
5.76353,1.84347e-05,0.0228232,0.0246345
5.76135,0.000126081,0.0253905,0.0244796
5.76002,0.000156266,0.0236792,0.0246076
5.75922,0.000284651,0.0228522,0.0247784
5.75625,0.000890899,0.0267858,0.025
5.75534,0.0001256,0.0246257,0.0244895
5.7532,0.000671372,0.0257803,0.0248005
5.75267,0.000409722,0.0255515,0.0246446
5.75224,0.000254184,0.0238292,0.0246271
5.75163,2.1336e-05,0.0276099,0.0246445
5.75107,0.000127504,0.0249551,0.0244714
5.75076,0.00070341,0.0225772,0.025
5.75064,8.41454e-05,0.0223205,0.0247776
5.75042,0.0005,0.022081,0.025
5.74986,0.0,0.0254517,0.0243873
5.74945,0.00059012,0.0233628,0.0248459
5.7487,-1.0842000000000001e-19,0.0237556,0.0245
5.74868,0.0005,0.0281872,0.025
5.74757,0.000691124,0.0276956,0.025
5.74664,6.65686e-05,0.0224581,0.0247493
5.74476,0.000302767,0.0275308,0.0247785
5.74185,0.000248064,0.0233162,0.0246705
5.74077,6.45449e-05,0.0279854,0.0247457
5.7407,-1.0842000000000001e-19,0.0234878,0.0245
5.74031,0.0,0.0248642,0.0243754
5.74018,0.000195346,0.0235332,0.0246185
5.73984,0.000883314,0.0269737,0.025
5.73967,0.00028386,0.022677,0.024791
5.73936,8.31415e-05,0.028122,0.0247761
5.73757,-1.0842000000000001e-19,0.0236257,0.0245
5.73599,0.000954478,0.023559,0.025
5.73517,0.000197835,0.0283749,0.0248984
5.73516,-1.0842000000000001e-19,0.0269696,0.0245
5.73484,0.000142727,0.0262201,0.0245021
5.73405,-1.0842000000000001e-19,0.0233363,0.0245
5.73401,0.00069756,0.0252879,0.0247846
5.73321,0.000136302,0.0241887,0.024495
5.73287,0.000664886,0.0223813,0.025
5.73134,0.000224878,0.0268192,0.0246082
5.73122,0.000632345,0.0239741,0.0247937
5.73118,0.000124557,0.0258188,0.0244597
5.73113,0.0,0.0257175,0.0243763
5.7305,0.000338847,0.0284775,0.0249733
5.72823,0.000300529,0.0277509,0.0247966
5.72729,1.98856e-05,0.0277657,0.0246396
5.72721,0.000976076,0.02658,0.025
5.72576,0.000656703,0.0268761,0.0248505
5.72516,0.0,0.0253151,0.0243504
5.72427,0.0006556,0.026436,0.0248028
5.72426,0.0,0.0255841,0.0243587
5.7234,8.78018e-05,0.0221654,0.024783
5.7225,0.000454655,0.0273172,0.0247968
5.72228,-1.0842000000000001e-19,0.0270995,0.0245
5.72176,1.925e-05,0.0226782,0.0246374
5.72163,0.000142878,0.0248066,0.0244514
5.71837,0.0,0.0251581,0.0243415
5.71777,0.000143624,0.0260538,0.024468
5.71748,0.000509467,0.0274987,0.0248492
5.71742,0.000112973,0.0263745,0.024473
5.71728,0.000144541,0.025621,0.0244506
5.71561,0.0,0.0249986,0.0243482
5.71446,0.000277271,0.0225183,0.0247921
5.71431,0.000180616,0.0251162,0.0244606
5.71308,0.000689018,0.0278971,0.025
5.70884,0.000674814,0.0244367,0.0247634
5.70829,0.000334999,0.0217867,0.024972
5.70743,0.0005,0.021884,0.025
5.70659,0.000191781,0.0285653,0.0248937
5.7057,0.0,0.0242638,0.0243745
5.70493,0.0005,0.0283842,0.025
5.70476,0.000176671,0.0218807,0.0248814
5.70415,-1.0842000000000001e-19,0.0231803,0.0245
5.70324,0.000175737,0.0272239,0.0246117
5.70247,0.000944185,0.0231611,0.025
5.70236,0.000404102,0.0246283,0.0245967
5.70184,0.000253332,0.0270248,0.0246218
5.70107,0.0,0.0247182,0.0243362
5.7008,8.84409e-05,0.0282815,0.0247839
5.7,0.000442482,0.0225721,0.0248381
5.69987,0.0,0.0260083,0.0243474
5.69986,0.000266878,0.0279525,0.0247906
5.69854,0.0,0.0258573,0.0243393
5.69641,0.000335999,0.0286729,0.0249723
5.69528,0.000514015,0.0257374,0.0246514
5.69512,0.000147323,0.0243979,0.0244479
5.69462,0.000524227,0.0270792,0.0247718
5.69235,0.000162358,0.0229043,0.0246307
5.69196,0.000122036,0.0267082,0.0244851
5.69117,0.0,0.0261676,0.0243514
5.69077,0.000456366,0.0248389,0.0246065
5.69062,0.000235883,0.0223834,0.0247765
5.68967,0.000152193,0.0239288,0.0244808
5.68945,0.000468857,0.0262347,0.0246464
5.6884,-1.0842000000000001e-19,0.0272583,0.0245
5.68836,0.000380251,0.0269217,0.024666
5.68758,0.0,0.0244034,0.0243387
5.68695,0.000459513,0.0276547,0.024819
5.68612,0.0,0.0245598,0.0243299
5.68604,0.000449753,0.0241463,0.0246351
5.686,0.0,0.0266021,0.0243824
5.68085,0.0,0.0263109,0.0243505
5.68052,0.000682689,0.0280933,0.025
5.68042,0.000202831,0.0230825,0.0246132
5.67901,0.0,0.0241282,0.0243483
5.67899,0.000451324,0.0244025,0.024611
5.67852,0.000284144,0.0255383,0.0244926
5.67693,0.000956561,0.027154,0.025
5.67613,0.000429606,0.0250912,0.0245723
5.6758,0.000117071,0.0237505,0.0244768
5.67375,-1.0842000000000001e-19,0.0230278,0.0245
5.67239,1.68411e-05,0.0279173,0.0246287
5.67225,0.0,0.0264646,0.0243509
5.67223,0.000147953,0.0265422,0.0244608
5.6718,8.30602e-05,0.0220124,0.024776
5.67126,0.0,0.0239755,0.0243512
5.67002,0.000704003,0.0221851,0.025
5.66877,-1.0842000000000001e-19,0.0273944,0.0245
5.66668,0.000529355,0.0253479,0.0246214
5.66609,1.75672e-05,0.0223802,0.0246314
5.66538,1.73921e-05,0.0225298,0.0246307
5.66462,8.6876e-05,0.0284531,0.0247817
5.66449,-1.0842000000000001e-19,0.0228968,0.0245
5.66392,0.000126072,0.0270868,0.024515
5.6636,0.0005,0.0285811,0.025
5.65975,0.000341428,0.021593,0.0249742
5.65809,0.000434739,0.0280802,0.0248567
5.65547,0.0,0.0238345,0.0243648
5.65543,0.000938611,0.0227718,0.025
5.6554,0.000725946,0.0260745,0.0247492
5.65447,0.000441895,0.0239464,0.024614
5.65441,0.00094229,0.0273847,0.025
5.65369,0.000202895,0.0274053,0.0246053
5.65283,0.000274351,0.0222278,0.0247868
5.65237,0.00018868,0.0287586,0.0248913
5.65202,-1.0842000000000001e-19,0.0275431,0.0245
5.65201,1.63194e-05,0.0280541,0.0246267
5.65197,0.000427533,0.0236735,0.0246312
5.65074,0.0005,0.0216871,0.025
5.64829,0.000667463,0.0219867,0.025
5.64421,0.000196728,0.0216855,0.0248975
5.64352,0.0,0.0267383,0.0243507
5.6434,0.0009068,0.0275936,0.025
5.64328,0.00029025,0.0245531,0.024471
5.64213,0.000283699,0.028154,0.0247862
5.64208,0.0,0.0236853,0.0243696
5.64126,0.000495542,0.0227518,0.0247755
5.64113,-1.0842000000000001e-19,0.0227445,0.0245
5.64112,1.98438e-05,0.0222305,0.0246395
5.64044,0.000187379,0.027783,0.0246502
5.63981,0.000331288,0.0288727,0.0249707
5.63709,0.000135098,0.0235493,0.0244652
5.63702,0.000310123,0.0241145,0.0245036
5.63679,0.000684952,0.0282947,0.025
5.63601,0.000456384,0.0264073,0.0245986
5.63505,0.000641086,0.0273721,0.0248169
5.63351,0.000602026,0.0229741,0.0247857
5.63276,0.000486665,0.0278883,0.0248185
5.63075,0.000321295,0.0249019,0.0244615
5.63002,0.000451425,0.0260523,0.024563
5.62991,0.000429689,0.0221688,0.0248431
5.62909,0.0,0.0270329,0.0243848
5.62898,-1.0842000000000001e-19,0.0276983,0.0245
5.62866,0.0,0.0235523,0.0243668
5.6284,0.000222598,0.0276113,0.0246246
5.62834,1.91961e-05,0.0281935,0.0246372
5.62519,0.0,0.0268972,0.0243522
5.62395,0.000816334,0.0241682,0.0247732
5.62391,0.000283204,0.0253084,0.0244279
5.62378,0.000362227,0.0276428,0.0247021
5.62114,0.000240121,0.0227251,0.0246338
5.61913,0.0005,0.0287781,0.025
5.6176,0.000450603,0.0265878,0.0245937
5.61757,0.000340953,0.0214008,0.024974
5.61432,0.000111403,0.0230212,0.0244975
5.61409,7.28752e-05,0.0286412,0.0247599
5.61405,0.0005,0.0214901,0.025
5.61272,0.000641844,0.0249426,0.024631
5.61234,0.0,0.0234047,0.0243581
5.61115,0.000904283,0.027808,0.025
5.61049,6.45063e-05,0.0218784,0.0247457
5.60944,0.000162779,0.0233697,0.0244684
5.60922,0.000315354,0.0243106,0.0244633
5.60799,0.000137052,0.0252998,0.0243149
5.60632,0.000200691,0.0215041,0.0249005
5.60622,0.000304905,0.0247084,0.0244316
5.60334,0.000376107,0.0271996,0.0246137
5.60192,-1.0842000000000001e-19,0.0226056,0.0245
5.60179,0.000446015,0.0223745,0.0247822
5.60164,1.91042e-05,0.0220876,0.0246369
5.60071,-1.0842000000000001e-19,0.0278576,0.0245
5.60006,0.00028652,0.0220609,0.0247743
5.59983,0.000344728,0.0278779,0.0247121
5.59942,0.000138494,0.0231888,0.0244679
5.59927,8.36808e-05,0.0217448,0.0247769
5.59888,2.07631e-05,0.0283456,0.0246426
5.59866,0.0,0.0254638,0.0242148
5.59735,0.000316057,0.0239426,0.0244806
5.59584,0.00011291,0.0249511,0.0242893
5.59509,0.000636701,0.0242356,0.0246392
5.59456,0.000279775,0.0283807,0.0247884
5.59418,0.000934297,0.0223996,0.025
5.59311,0.00086693,0.0246747,0.0247463
5.59263,0.000509337,0.0268088,0.024626
5.59217,0.000387601,0.0228859,0.0246498
5.59159,0.000691856,0.0284868,0.025
5.59152,0.000288903,0.0259665,0.0244175
5.58992,0.000327295,0.026528,0.0244835
5.58896,0.000706217,0.0217899,0.025
5.58576,0.0,0.027169,0.024354
5.58544,0.0,0.0232602,0.0243476
5.58382,0.000187781,0.0225188,0.0246139
5.58081,0.000295002,0.0257346,0.024399
5.58014,0.000621654,0.0234824,0.0246815
5.57962,0.000163806,0.0246284,0.0243163
5.57894,0.00132021,0.0253648,0.025
5.57873,0.00132796,0.0249785,0.025
5.57835,0.0,0.0273124,0.0243763
5.57755,0.00025928,0.0218776,0.0247883
5.57698,0.000404501,0.0273526,0.0246261
5.57537,0.000210152,0.0279572,0.0246307
5.57511,0.00068597,0.0225562,0.0248324
5.57489,0.000341207,0.0261976,0.0244471
5.57421,0.0003337,0.0290725,0.0249715
5.57403,0.000909131,0.028011,0.025
5.57236,0.000333758,0.0212059,0.0249716
5.57194,0.000278866,0.0263802,0.0244198
5.5715,0.000131422,0.0257263,0.0242831
5.56933,0.0,0.0231121,0.0243585
5.56913,0.000177112,0.0289725,0.0248818
5.56842,0.000155401,0.0269108,0.0243979
5.56825,0.000645073,0.0255704,0.0245922
5.56765,0.000267845,0.0285991,0.0248005
5.56742,8.96043e-05,0.0215901,0.0247856
5.56704,0.0005,0.0289751,0.025
5.56635,0.00012499,0.0273079,0.0244432
5.56623,0.0005,0.0212931,0.025
5.56576,-1.0842000000000001e-19,0.0224532,0.0245
5.56424,0.00132405,0.0257425,0.025
5.56391,0.000132482,0.0251214,0.0242627
5.5628,0.0,0.0250836,0.0241722
5.56279,0.0,0.0248795,0.0241765
5.56273,0.0,0.02296,0.0243759
5.56257,-1.0842000000000001e-19,0.0279875,0.0245
5.56221,0.0,0.0252801,0.0241705
5.56198,1.94856e-05,0.0284972,0.0246382
5.56185,0.000725004,0.023204,0.0247489
5.56135,0.000482247,0.0256768,0.0244906
5.56101,0.000395258,0.0234722,0.0245401
5.56036,0.000669072,0.0215917,0.025
5.56032,0.000261387,0.0267063,0.0244296
5.55969,0.000618141,0.024621,0.0245714
5.55928,0.000196084,0.0213222,0.024897
5.55893,0.00135182,0.024573,0.025
5.55811,0.000768232,0.0266663,0.0247243
5.55792,0.000873669,0.0282017,0.025
5.5537,8.07783e-05,0.0288272,0.0247725
5.55354,0.000459231,0.0247546,0.0244663
5.55325,0.000481816,0.0282896,0.0248217
5.55294,0.000134432,0.0275082,0.0244684
5.55267,0.0001274,0.0247982,0.0242544
5.55219,0.000147747,0.0259014,0.024279
5.55205,0.000116372,0.022871,0.0244542
5.54819,0.00020657,0.0240718,0.0243458
5.54687,0.0,0.0256849,0.0241654
5.54508,0.0,0.0260801,0.0241804
5.54417,0.000129827,0.0276771,0.0244868
5.54413,0.000695186,0.028686,0.025
5.54408,0.000598354,0.0238305,0.0245969
5.54287,-1.0842000000000001e-19,0.022298,0.0245
5.5424,0.000212497,0.0222996,0.0246229
5.54231,0.000321228,0.0236505,0.0244571
5.54213,0.0,0.0228197,0.0243756
5.54109,0.000137944,0.0227312,0.0244831
5.54099,0.000650688,0.0280862,0.0248488
5.54071,0.000326964,0.0224342,0.0246517
5.53847,0.00134147,0.0261254,0.025
5.53782,-1.0842000000000001e-19,0.0281175,0.0245
5.53707,1.66699e-05,0.0219445,0.024628
5.5355,0.00124511,0.0268726,0.025
5.53478,0.000441932,0.0230637,0.0245906
5.53409,0.000148687,0.026398,0.0242944
5.53326,0.0,0.0242576,0.0241771
5.53319,0.000338914,0.0292721,0.0249733
5.5321,0.000694467,0.0276514,0.0247858
5.53182,0.00137228,0.0241659,0.025
5.53159,0.0,0.0237556,0.0242292
5.53138,0.000462754,0.0258682,0.0244548
5.53012,0.000195731,0.0291791,0.0248968
5.52887,0.0,0.0264163,0.0241878
5.52818,8.96878e-05,0.0214305,0.0247857
5.52771,0.0,0.0262387,0.0241724
5.52752,0.000264896,0.0247724,0.0243173
5.52687,0.000290602,0.0237978,0.0244043
5.5257,0.000149385,0.0242348,0.0242703
5.52558,0.0,0.027441,0.024334
5.52226,0.000871512,0.0233957,0.0247657
5.52146,0.000401608,0.0217229,0.0248299
5.52119,0.0,0.0266185,0.0242008
5.52108,1.66606e-05,0.0218103,0.024628
5.51994,0.000789727,0.0237137,0.0246878
5.51974,0.000474198,0.0252843,0.024433
5.51853,0.000151797,0.024431,0.0242501
5.51758,0.000616793,0.0265583,0.0245833
5.51738,0.000791168,0.0269669,0.0247291
5.51665,0.000512821,0.0232859,0.0245805
5.51639,0.000142424,0.0238333,0.0242951
5.51636,0.000945497,0.0219965,0.025
5.51578,0.0005,0.0210962,0.025
5.51474,0.000177294,0.0221119,0.0246192
5.51394,0.0005,0.0291721,0.025
5.51375,0.000621289,0.0222424,0.0247999
