Points_0,Points_1,Points_2,Temperature
0.0199486,0.00404286,0.0107154,34.24
0.0186413,0.0257807,0.0134265,36.1407
0.0186503,0.0148245,0.0134169,36.2033
0.0186412,0.0242181,0.0134266,36.1801
0.0172823,0.00414164,0.00555126,33.2448
0.018653,0.0132532,0.0134141,36.0945
0.0114399,0.0413481,0.0135108,35.4268
0.010406,0.045949,0.0119735,34.5078
0.0186357,0.00858691,0.0134324,35.4265
0.0186448,0.0195267,0.0134228,36.2615
0.0186468,0.0179611,0.0134206,36.2698
0.0100261,0.0459912,0.0105099,34.2428
0.018641,0.0289026,0.0134268,36.0816
0.0186386,0.0320213,0.0134294,35.9991
0.0186477,0.035144,0.0134197,35.8306
0.0186681,0.036712,0.0133978,35.6818
0.0157882,0.0041249,0.00506251,33.1598
0.0188397,0.0414902,0.0132026,34.9431
0.0199153,0.0458574,0.0109166,33.9822
0.0114372,0.00412889,0.0064919,33.545
0.0115364,0.0428149,0.013606,35.174
0.018656,0.0116856,0.0134108,35.9153
0.0188725,0.043106,0.0131628,34.6917
0.0113538,0.0242168,0.0134213,36.6759
0.0112361,0.0457746,0.0132914,34.7148
0.0173077,0.0459032,0.0055644,33.088
0.0142652,0.0459437,0.00505428,33.053
0.0115445,0.0459898,0.00638625,33.4002
0.0106203,0.0460068,0.00758783,33.6646
0.0113549,0.0257801,0.0134225,36.6576
0.0113567,0.0289059,0.0134243,36.6096
0.0105116,0.00414018,0.00779685,33.8377
0.0113678,0.0382792,0.0134361,35.9485
0.0186553,0.0101269,0.0134116,35.6898
0.0194019,0.0458472,0.0123713,34.2384
0.0186418,0.0226551,0.013426,36.2081
0.0113572,0.0320307,0.0134249,36.5215
0.0186486,0.0163943,0.0134187,36.256
0.019953,0.0459078,0.00931572,33.705
0.0185872,0.00708324,0.0134831,35.1858
0.0100446,0.00411646,0.00933339,34.1511
0.0113527,0.0210883,0.0134201,36.7005
0.0113527,0.0179576,0.0134201,36.676
0.0113522,0.0148201,0.0134196,36.5387
0.0113546,0.0116967,0.0134222,36.1764
0.0114234,0.00869632,0.013494,35.6783
0.0142131,0.0041197,0.00506231,33.1829
0.0187693,0.0398814,0.0132852,35.2161
0.0199374,0.00414786,0.00921157,33.9521
0.0186415,0.0273425,0.0134263,36.1075
0.0185621,0.0460519,0.0135088,34.4143
0.0185307,0.00560273,0.0135404,34.972
0.0113843,0.0398325,0.0134535,35.6939
0.0186431,0.0210916,0.0134246,36.2378
0.01864,0.0304628,0.0134279,36.0455
0.0186399,0.0335824,0.013428,35.9323
0.0185782,0.0458857,0.00650762,33.2392
0.015816,0.045922,0.00506703,33.0182
0.0127934,0.0459655,0.00551327,33.191
0.0135233,0.0446042,0.00522304,33.1313
0.0194271,0.0249996,0.0123239,35.7281
0.0194234,0.03279,0.012331,35.5138
0.0191122,0.0445018,0.00715578,33.3843
0.0195783,0.0406613,0.0120098,34.7051
0.0106247,0.0446282,0.0124201,34.7091
0.0150025,0.00549904,0.005,33.1773
0.0107058,0.00804354,0.0125613,35.2964
0.0105662,0.0203017,0.0123111,36.2682
0.0105669,0.0171636,0.0123125,36.189
0.0105673,0.0140132,0.0123132,35.9963
0.010566,0.0108671,0.0123109,35.6338
0.0199997,0.00554225,0.010053,34.1891
0.01943,0.0203082,0.0123185,35.7896
0.0105715,0.034372,0.0123214,35.963
0.010566,0.0218675,0.0123107,36.2811
0.0199984,0.0446513,0.0101271,33.9149
0.019068,0.00557953,0.00709281,33.5788
0.0105707,0.0296876,0.0123198,36.1845
0.0103287,0.00538993,0.011783,34.7648
0.0192406,0.00504162,0.012649,34.7141
0.0194461,0.00929404,0.0122875,35.1412
0.0197729,0.00529019,0.0114897,34.4847
0.0197769,0.00562633,0.00852325,33.8666
0.0179611,0.00554981,0.00597109,33.3527
0.0105966,0.040661,0.0123685,35.2345
0.0194361,0.0140248,0.0123067,35.6505
0.0100022,0.00545012,0.0101484,34.4073
0.0101217,0.0446454,0.0110964,34.4526
0.0194273,0.0296791,0.0123236,35.6207
0.0194349,0.0359024,0.012309,35.3084
0.0165603,0.00551679,0.00524968,33.2072
0.0134424,0.00549378,0.0052488,33.2621
0.0106807,0.0421568,0.0125187,35.0527
0.0194392,0.0124438,0.0123007,35.5237
