Block Name,Point ID,FamilyIdNode,NumIdNode,Points_0,Points_1,Points_2,Points_Magnitude
dataset_1,180,0,489,0.00619901,0.0105,0.025,0.0278151
dataset_1,181,0,490,0.00639694,0.0105,0.025,0.0278598
dataset_1,182,0,491,0.00659486,0.0105,0.025,0.027906
dataset_1,183,0,492,0.00679279,0.0105,0.025,0.0279534
dataset_1,184,0,493,0.00699072,0.0105,0.025,0.0280021
dataset_1,185,0,494,0.00718864,0.0105,0.025,0.0280522
dataset_1,186,0,495,0.00738657,0.0105,0.025,0.0281036
dataset_1,187,0,496,0.0075845,0.0105,0.025,0.0281563
dataset_1,188,0,497,0.00778242,0.0105,0.025,0.0282102
dataset_1,189,0,498,0.00798035,0.0105,0.025,0.0282655
dataset_1,190,0,499,0.00817828,0.0105,0.025,0.028322
dataset_1,191,0,500,0.0083762,0.0105,0.025,0.0283798
dataset_1,192,0,501,0.00857413,0.0105,0.025,0.0284388
dataset_1,193,0,502,0.00877205,0.0105,0.025,0.0284991
dataset_1,194,0,503,0.00896998,0.0105,0.025,0.0285606
dataset_1,195,0,504,0.00916791,0.0105,0.025,0.0286234
dataset_1,196,0,505,0.00936583,0.0105,0.025,0.0286874
dataset_1,197,0,506,0.00956376,0.0105,0.025,0.0287527
dataset_1,198,0,507,0.00976169,0.0105,0.025,0.0288191
dataset_1,199,0,508,0.00995961,0.0105,0.025,0.0288867
dataset_1,200,0,509,0.0101575,0.0105,0.025,0.0289556
dataset_1,201,0,510,0.0103555,0.0105,0.025,0.0290256
dataset_1,202,0,511,0.0105534,0.0105,0.025,0.0290968
dataset_1,203,0,512,0.0107513,0.0105,0.025,0.0291692
dataset_1,204,0,513,0.0109492,0.0105,0.025,0.0292427
dataset_1,205,0,514,0.0111472,0.0105,0.025,0.0293174
dataset_1,206,0,515,0.0113451,0.0105,0.025,0.0293932
dataset_1,207,0,516,0.011543,0.0105,0.025,0.0294702
dataset_1,208,0,517,0.011741,0.0105,0.025,0.0295483
