Block Name,Point ID,FamilyIdNode,Points_0,Points_1,Points_2,Points_Magnitude,Temperature
dataset_1,185,6,0.015,0.009375,0.016,0.0238514,36.7877
dataset_1,186,6,0.015,0.0109375,0.016,0.0245077,37.245
dataset_1,187,6,0.015,0.0125,0.016,0.0252438,37.5682
dataset_1,188,6,0.015,0.0140625,0.016,0.0260529,37.735
dataset_1,189,6,0.015,0.015625,0.016,0.0269284,37.8046
dataset_1,190,6,0.015,0.0171875,0.016,0.0278641,37.7891
dataset_1,191,6,0.015,0.01875,0.016,0.0288542,37.7405
dataset_1,192,6,0.015,0.0203125,0.016,0.0298931,37.6725
dataset_1,193,6,0.015,0.021875,0.016,0.030976,37.6038
dataset_1,194,6,0.015,0.0234375,0.016,0.0320985,37.5512
dataset_1,195,6,0.015,0.025,0.016,0.0332566,37.5061
dataset_1,196,6,0.015,0.0265625,0.016,0.0344466,37.4825
dataset_1,197,6,0.015,0.028125,0.016,0.0356653,37.4728
dataset_1,198,6,0.015,0.0296875,0.016,0.03691,37.4716
dataset_1,199,6,0.015,0.03125,0.016,0.038178,37.48
dataset_1,200,6,0.015,0.0328125,0.016,0.0394672,37.4642
dataset_1,201,6,0.015,0.034375,0.016,0.0407755,37.4125
dataset_1,202,6,0.015,0.0359375,0.016,0.0421011,37.3013
dataset_1,203,6,0.015,0.0375,0.016,0.0434425,37.0976
dataset_1,204,6,0.015,0.0390625,0.016,0.0447982,36.7748
dataset_1,205,6,0.015,0.040625,0.016,0.046167,36.3554
dataset_1,206,6,0.015,0.0421875,0.016,0.0475477,35.9126
dataset_1,207,6,0.015,0.04375,0.016,0.0489394,35.4947
dataset_1,208,6,0.015,0.0453125,0.016,0.0503411,35.1664
dataset_1,209,6,0.015,0.046875,0.016,0.051752,34.9443
dataset_1,210,6,0.015,0.0484375,0.016,0.0531713,34.7939
dataset_1,211,7,0.0165451,0.05,0.0147553,0.0546942,34.3435
dataset_1,212,7,0.0179389,0.05,0.0140451,0.0549461,34.2661
dataset_1,213,7,0.0190451,0.05,0.0129389,0.0550466,34.1384
