Points_0,Points_1,Points_2,Temperature
0.00659486,0.0395,0.025,50.7464
0.00679279,0.0395,0.025,50.7703
0.00699072,0.0395,0.025,50.7892
0.00718864,0.0395,0.025,50.8077
0.00738657,0.0395,0.025,50.8218
0.0075845,0.0395,0.025,50.844
0.00778242,0.0395,0.025,50.852
0.00798035,0.0395,0.025,50.8637
0.00817828,0.0395,0.025,50.8664
0.0083762,0.0395,0.025,50.8775
0.00857413,0.0395,0.025,50.8798
0.00877205,0.0395,0.025,50.88
0.00896998,0.0395,0.025,50.8858
0.00916791,0.0395,0.025,50.8738
0.00936583,0.0395,0.025,50.8706
0.00956376,0.0395,0.025,50.8624
0.00976169,0.0395,0.025,50.8437
0.00995961,0.0395,0.025,50.8313
0.0101575,0.0395,0.025,50.8222
0.0103555,0.0395,0.025,50.8009
0.0105534,0.0395,0.025,50.7709
0.0107513,0.0395,0.025,50.7467
0.0109492,0.0395,0.025,50.7239
0.0111472,0.0395,0.025,50.7033
0.0113451,0.0395,0.025,50.6642
0.011543,0.0395,0.025,50.6292
0.011741,0.0395,0.025,50.6044
0.0119389,0.0395,0.025,50.5692
0.0121368,0.0395,0.025,50.5253
0.0123347,0.0395,0.025,50.4839
0.0125327,0.0395,0.025,50.4466
0.0127306,0.0395,0.025,50.4072
0.0129285,0.0395,0.025,50.3649
0.0131264,0.0395,0.025,50.3121
0.0133244,0.0395,0.025,50.268
0.0135223,0.0395,0.025,50.2185
0.0137202,0.0395,0.025,50.1705
0.0139181,0.0395,0.025,50.1086
0.0141161,0.0395,0.025,50.0634
0.014314,0.0395,0.025,50.0077
0.0145119,0.0395,0.025,49.9424
0.0147098,0.0395,0.025,49.8929
0.0149078,0.0395,0.025,49.8381
0.0151057,0.0395,0.025,49.7846
0.0153036,0.0395,0.025,49.7188
0.0155016,0.0395,0.025,49.6505
0.0156995,0.0395,0.025,49.5958
0.0158974,0.0395,0.025,49.531
0.0160953,0.0395,0.025,49.4652
0.0162933,0.0395,0.025,49.4029
0.0164912,0.0395,0.025,49.3502
0.0166891,0.0395,0.025,49.2854
0.016887,0.0395,0.025,49.2177
0.017085,0.0395,0.025,49.1575
0.0172829,0.0395,0.025,49.0924
0.0174808,0.0395,0.025,49.0432
0.0176787,0.0395,0.025,48.9831
0.0178767,0.0395,0.025,48.9243
0.0180746,0.0395,0.025,48.86
0.0182725,0.0395,0.025,48.7955
0.0184704,0.0395,0.025,48.7336
0.0186684,0.0395,0.025,48.6767
0.0188663,0.0395,0.025,48.6149
0.0190642,0.0395,0.025,48.565
0.0192622,0.0395,0.025,48.5098
0.0194601,0.0395,0.025,48.4484
0.019658,0.0395,0.025,48.3886
0.0198559,0.0395,0.025,48.3366
0.0200539,0.0395,0.025,48.2764
0.0202518,0.0395,0.025,48.2327
0.0204497,0.0395,0.025,48.176
0.0206476,0.0395,0.025,48.1231
0.0208456,0.0395,0.025,48.0736
0.0210435,0.0395,0.025,48.02
0.0212414,0.0395,0.025,47.9714
0.0214393,0.0395,0.025,47.9246
0.0216373,0.0395,0.025,47.8743
0.0218352,0.0395,0.025,47.8213
0.0220331,0.0395,0.025,47.7717
0.022231,0.0395,0.025,47.7225
0.022429,0.0395,0.025,47.6809
0.0226269,0.0395,0.025,47.6338
0.0228248,0.0395,0.025,47.5856
0.0230228,0.0395,0.025,47.54
0.0232207,0.0395,0.025,47.496
0.0234186,0.0395,0.025,47.4525
0.0236165,0.0395,0.025,47.4063
0.0238145,0.0395,0.025,47.3597
0.0240124,0.0395,0.025,47.3147
0.0242103,0.0395,0.025,47.2705
0.0244082,0.0395,0.025,47.225
0.0246062,0.0395,0.025,47.1689
0.0248041,0.0395,0.025,47.123
0.025002,0.0395,0.025,47.0764
0.0251999,0.0395,0.025,47.024
0.0253979,0.0395,0.025,46.9748
0.0255958,0.0395,0.025,46.9303
0.0257937,0.0395,0.025,46.8627
0.0259916,0.0395,0.025,46.8043
0.0261896,0.0395,0.025,46.7416
0.0263875,0.0395,0.025,46.6798
0.0265854,0.0395,0.025,46.6193
0.0267834,0.0395,0.025,46.5565
0.0269813,0.0395,0.025,46.4903
0.0271792,0.0395,0.025,46.4216
0.0273771,0.0395,0.025,46.3476
0.0275751,0.0395,0.025,46.2724
0.027773,0.0395,0.025,46.1922
0.0279709,0.0395,0.025,46.113
0.0281688,0.0395,0.025,46.0307
0.0283668,0.0395,0.025,45.9534
0.0285647,0.0395,0.025,45.8722
0.0287626,0.0395,0.025,45.7905
0.0289605,0.0395,0.025,45.709
0.0291585,0.0395,0.025,45.6372
0.0293566,0.0395,0.025,45.5728
0.0295,0.010657,0.025,49.1803
0.0295,0.010855,0.025,49.1655
0.0295,0.0110529,0.025,49.1592
0.0295,0.0112509,0.025,49.1403
0.0295,0.0114488,0.025,49.1275
0.0295,0.0116467,0.025,49.1174
0.0295,0.0118446,0.025,49.1056
0.0295,0.0120426,0.025,49.0938
0.0295,0.0122405,0.025,49.0854
0.0295,0.0124384,0.025,49.0787
0.0295,0.0126363,0.025,49.0756
0.0295,0.0128343,0.025,49.0717
0.0295,0.0130322,0.025,49.0657
0.0295,0.0132301,0.025,49.0594
0.0295,0.013428,0.025,49.0547
0.0295,0.013626,0.025,49.0496
0.0295,0.0138239,0.025,49.0522
0.0295,0.0140218,0.025,49.0502
0.0295,0.0142197,0.025,49.0499
0.0295,0.0144177,0.025,49.0502
0.0295,0.0146156,0.025,49.0553
0.0295,0.0148135,0.025,49.0584
0.0295,0.0150115,0.025,49.0627
0.0295,0.0152094,0.025,49.0699
0.0295,0.0154073,0.025,49.0658
0.0295,0.0156052,0.025,49.0773
0.0295,0.0158032,0.025,49.0799
0.0295,0.0160011,0.025,49.0884
0.0295,0.016199,0.025,49.0914
0.0295,0.0163969,0.025,49.0938
0.0295,0.0165949,0.025,49.1012
0.0295,0.0167928,0.025,49.1045
0.0295,0.0169907,0.025,49.1131
0.0295,0.0171886,0.025,49.1145
0.0295,0.0173866,0.025,49.122
0.0295,0.0175845,0.025,49.1253
0.0295,0.0177824,0.025,49.1312
0.0295,0.0179803,0.025,49.1316
0.0295,0.0181783,0.025,49.1356
0.0295,0.0183762,0.025,49.1348
0.0295,0.0185741,0.025,49.1389
0.0295,0.0187721,0.025,49.1403
0.0295,0.01897,0.025,49.1394
0.0295,0.0191679,0.025,49.134
0.0295,0.0193658,0.025,49.1338
0.0295,0.0195638,0.025,49.1337
0.0295,0.0197617,0.025,49.1279
0.0295,0.0199596,0.025,49.1185
0.0295,0.0201575,0.025,49.1138
0.0295,0.0203555,0.025,49.1067
0.0295,0.0205534,0.025,49.1019
0.0295,0.0207513,0.025,49.0936
0.0295,0.0209492,0.025,49.0821
0.0295,0.0211472,0.025,49.0678
0.0295,0.0213451,0.025,49.0522
0.0295,0.021543,0.025,49.0468
0.0295,0.021741,0.025,49.0349
0.0295,0.0219389,0.025,49.0147
0.0295,0.0221368,0.025,48.9996
0.0295,0.0223347,0.025,48.9856
0.0295,0.0225327,0.025,48.9729
0.0295,0.0227306,0.025,48.9478
0.0295,0.0229285,0.025,48.9258
0.0295,0.0231264,0.025,48.9089
0.0295,0.0233244,0.025,48.8889
0.0295,0.0235223,0.025,48.865
0.0295,0.0237202,0.025,48.8421
0.0295,0.0239181,0.025,48.8182
0.0295,0.0241161,0.025,48.7967
0.0295,0.024314,0.025,48.7754
0.0295,0.0245119,0.025,48.7506
0.0295,0.0247098,0.025,48.7194
0.0295,0.0249078,0.025,48.6962
0.0295,0.0251057,0.025,48.6675
0.0295,0.0253036,0.025,48.6407
0.0295,0.0255016,0.025,48.61
0.0295,0.0256995,0.025,48.5831
0.0295,0.0258974,0.025,48.5541
0.0295,0.0260953,0.025,48.5244
0.0295,0.0262933,0.025,48.4962
0.0295,0.0264912,0.025,48.4586
0.0295,0.0266891,0.025,48.4283
0.0295,0.026887,0.025,48.3942
0.0295,0.027085,0.025,48.3601
0.0295,0.0272829,0.025,48.3278
0.0295,0.0274808,0.025,48.293
0.0295,0.0276787,0.025,48.2611
0.0295,0.0278767,0.025,48.2198
0.0295,0.0280746,0.025,48.1847
0.0295,0.0282725,0.025,48.1479
0.0295,0.0284704,0.025,48.108
0.0295,0.0286684,0.025,48.0655
0.0295,0.0288663,0.025,48.0263
0.0295,0.0290642,0.025,47.9882
0.0295,0.0292622,0.025,47.9458
0.0295,0.0294601,0.025,47.904
0.0295,0.029658,0.025,47.8604
0.0295,0.0298559,0.025,47.819
0.0295,0.0300539,0.025,47.7805
0.0295,0.0302518,0.025,47.7365
0.0295,0.0304497,0.025,47.6892
0.0295,0.0306476,0.025,47.6443
0.0295,0.0308456,0.025,47.6027
0.0295,0.0310435,0.025,47.5587
0.0295,0.0312414,0.025,47.5093
0.0295,0.0314393,0.025,47.4651
0.0295,0.0316373,0.025,47.4198
0.0295,0.0318352,0.025,47.3711
0.0295,0.0320331,0.025,47.3214
0.0295,0.032231,0.025,47.2762
0.0295,0.032429,0.025,47.2268
0.0295,0.0326269,0.025,47.1789
0.0295,0.0328248,0.025,47.1279
0.0295,0.0330228,0.025,47.0782
0.0295,0.0332207,0.025,47.0242
0.0295,0.0334186,0.025,46.9745
0.0295,0.0336165,0.025,46.9247
0.0295,0.0338145,0.025,46.8718
0.0295,0.0340124,0.025,46.8157
0.0295,0.0342103,0.025,46.7648
0.0295,0.0344082,0.025,46.708
0.0295,0.0346062,0.025,46.6495
0.0295,0.0348041,0.025,46.5991
0.0295,0.035002,0.025,46.5481
0.0295,0.0351999,0.025,46.4908
0.0295,0.0353979,0.025,46.4359
0.0295,0.0355958,0.025,46.3813
0.0295,0.0357937,0.025,46.3256
0.0295,0.0359916,0.025,46.2691
0.0295,0.0361896,0.025,46.2129
0.0295,0.0363875,0.025,46.1597
0.0295,0.0365854,0.025,46.1068
0.0295,0.0367834,0.025,46.0552
0.0295,0.0369813,0.025,46.0032
0.0295,0.0371792,0.025,45.9526
0.0295,0.0373771,0.025,45.9063
0.0295,0.0375751,0.025,45.8568
0.0295,0.037773,0.025,45.8119
0.0295,0.0379709,0.025,45.7652
0.0295,0.0381688,0.025,45.7287
0.0295,0.0383668,0.025,45.6905
0.0295,0.0385647,0.025,45.6537
0.0295,0.0387626,0.025,45.6237
0.0295,0.0389605,0.025,45.5957
0.0295,0.0391585,0.025,45.5693
0.0295,0.0393566,0.025,45.5457
0.000655851,0.0393422,0.025,49.3653
0.000649181,0.0390125,0.025,49.466
0.000648296,0.0386938,0.025,49.5761
0.000682508,0.0383272,0.025,49.7336
0.000687459,0.0379367,0.025,49.9188
0.000685929,0.0375412,0.025,50.1096
0.000687119,0.0371545,0.025,50.3185
0.00069976,0.0367544,0.025,50.5378
0.000685895,0.0363621,0.025,50.7698
0.000681511,0.0359708,0.025,50.9944
0.000701511,0.0355769,0.025,51.2326
0.000700758,0.0351763,0.025,51.4804
0.000682233,0.0347828,0.025,51.7421
0.000678748,0.0343881,0.025,51.9974
0.000694465,0.0339953,0.025,52.2429
0.000695139,0.0336065,0.025,52.4945
0.000688025,0.0332046,0.025,52.7484
0.000693129,0.0328153,0.025,52.9981
0.000687001,0.0324239,0.025,53.2507
0.000684833,0.0320298,0.025,53.4873
0.000695877,0.0316281,0.025,53.7185
0.000655506,0.0312424,0.025,53.9645
0.000700381,0.0308555,0.025,54.1431
0.000685485,0.0304505,0.025,54.3681
0.000691833,0.030053,0.025,54.5574
0.000674186,0.0296605,0.025,54.7465
0.000675107,0.0292661,0.025,54.8939
0.000693955,0.0288777,0.025,55.0325
0.000691856,0.0284868,0.025,55.1624
0.000682689,0.0280933,0.025,55.2905
0.000691124,0.0276956,0.025,55.3897
0.00069747,0.0272909,0.025,55.4853
0.000681952,0.0268932,0.025,55.5598
0.000705852,0.0264896,0.025,55.5919
0.000700045,0.0261104,0.025,55.6475
0.000699158,0.0257263,0.025,55.6709
0.000703375,0.0253356,0.025,55.6759
0.000705681,0.0249414,0.025,55.6703
0.000707729,0.0245467,0.025,55.672
0.000708867,0.0241518,0.025,55.6245
0.000708688,0.0237567,0.025,55.5841
0.000706438,0.0233616,0.025,55.5224
0.000703098,0.0229679,0.025,55.4527
0.00070341,0.0225772,0.025,55.3396
0.000704003,0.0221851,0.025,55.2454
0.000706217,0.0217899,0.025,55.1181
0.00070698,0.0213944,0.025,55.0138
0.000705279,0.0209984,0.025,54.8589
0.000705953,0.0206058,0.025,54.7043
0.000706075,0.0202162,0.025,54.5362
0.000704842,0.0198231,0.025,54.3508
0.00070714,0.0194283,0.025,54.1731
0.000707536,0.019033,0.025,53.9745
0.00070673,0.0186381,0.025,53.7611
0.000706794,0.0182433,0.025,53.5501
